iteration,Target,wins,loses,tie
1,11,15,5,0
1,6,14,6,0
1,3,15,5,0
1,9,3,17,0
1,10,4,16,0
1,5,5,15,0
1,2,2,18,0
1,4,20,0,0
1,8,6,14,0
1,14,8,12,0
1,31,20,0,0
1,12,20,0,0
1,13,15,5,0
1,21,12,8,0
1,18,18,2,0
1,34,18,2,0
1,15,0,20,0
1,19,0,20,0
1,27,18,2,0
1,16,6,14,0
1,17,11,9,0
1,20,9,11,0
1,22,0,20,0
1,26,8,12,0
1,28,0,20,0
1,23,15,5,0
1,25,8,12,0
1,24,9,11,0
2,11,9,11,0
2,6,9,11,0
2,3,20,0,0
2,9,9,11,0
2,10,14,6,0
2,5,12,8,0
2,2,14,6,0
2,4,20,0,0
2,8,5,15,0
2,14,13,7,0
2,31,20,0,0
2,12,9,11,0
2,13,5,15,0
2,21,17,3,0
2,18,12,8,0
2,34,20,0,0
2,15,0,20,0
2,19,0,20,0
2,27,18,2,0
2,16,19,1,0
2,17,20,0,0
2,20,19,1,0
2,22,12,8,0
2,26,9,11,0
2,28,0,20,0
2,23,11,9,0
2,25,9,11,0
2,24,17,3,0
3,11,0,20,0
3,6,13,7,0
3,3,15,5,0
3,9,20,0,0
3,10,0,20,0
3,5,17,3,0
3,2,16,4,0
3,4,14,6,0
3,8,0,19,1
3,14,17,3,0
3,31,19,1,0
3,12,18,2,0
3,13,9,11,0
3,21,19,1,0
3,18,17,3,0
3,34,20,0,0
3,15,0,20,0
3,19,0,20,0
3,27,18,2,0
3,16,20,0,0
3,17,10,10,0
3,20,20,0,0
3,22,19,1,0
3,26,17,3,0
3,28,0,19,1
3,23,20,0,0
3,25,11,9,0
3,24,19,1,0
4,11,3,17,0
4,6,13,7,0
4,3,20,0,0
4,9,14,6,0
4,10,0,20,0
4,5,7,13,0
4,2,9,11,0
4,4,20,0,0
4,8,0,20,0
4,14,7,13,0
4,31,18,2,0
4,12,10,10,0
4,13,11,9,0
4,21,20,0,0
4,18,11,9,0
4,34,16,4,0
4,15,19,1,0
4,19,20,0,0
4,27,0,20,0
4,16,20,0,0
4,17,16,4,0
4,20,0,20,0
4,22,0,20,0
4,26,7,13,0
4,28,0,20,0
4,23,0,20,0
4,25,0,20,0
4,24,0,20,0
5,11,16,4,0
5,6,17,3,0
5,3,19,1,0
5,9,11,9,0
5,10,14,6,0
5,5,11,9,0
5,2,20,0,0
5,4,20,0,0
5,8,16,4,0
5,14,13,7,0
5,31,20,0,0
5,12,20,0,0
5,13,5,15,0
5,21,18,2,0
5,18,17,3,0
5,34,15,5,0
5,15,0,20,0
5,19,15,5,0
5,27,0,20,0
5,16,14,6,0
5,17,20,0,0
5,20,0,20,0
5,22,0,20,0
5,26,0,20,0
5,28,0,20,0
5,23,0,20,0
5,25,0,20,0
5,24,0,20,0
6,11,0,20,0
6,6,17,3,0
6,3,19,1,0
6,9,14,6,0
6,10,8,12,0
6,5,10,10,0
6,2,20,0,0
6,4,20,0,0
6,8,17,3,0
6,14,14,6,0
6,31,19,1,0
6,12,15,5,0
6,13,12,8,0
6,21,13,7,0
6,18,16,4,0
6,34,18,2,0
6,15,11,9,0
6,19,20,0,0
6,27,0,20,0
6,16,18,2,0
6,17,20,0,0
6,20,0,20,0
6,22,0,20,0
6,26,0,20,0
6,28,0,20,0
6,23,0,20,0
6,25,0,20,0
6,24,0,20,0
7,11,12,8,0
7,6,20,0,0
7,3,20,0,0
7,9,13,7,0
7,10,8,12,0
7,5,19,1,0
7,2,20,0,0
7,4,16,4,0
7,8,20,0,0
7,14,13,7,0
7,31,20,0,0
7,12,17,3,0
7,13,17,3,0
7,21,17,3,0
7,18,18,2,0
7,34,18,2,0
7,15,20,0,0
7,19,20,0,0
7,27,19,1,0
7,16,20,0,0
7,17,14,6,0
7,20,14,6,0
7,22,0,20,0
7,26,9,11,0
7,28,0,20,0
7,23,12,8,0
7,25,20,0,0
7,24,12,8,0
8,11,0,20,0
8,6,20,0,0
8,3,20,0,0
8,9,13,7,0
8,10,16,4,0
8,5,20,0,0
8,2,13,7,0
8,4,20,0,0
8,8,18,2,0
8,14,18,2,0
8,31,20,0,0
8,12,16,4,0
8,13,18,2,0
8,21,15,5,0
8,18,18,1,1
8,34,20,0,0
8,15,16,4,0
8,19,20,0,0
8,27,11,9,0
8,16,20,0,0
8,17,19,1,0
8,20,20,0,0
8,22,20,0,0
8,26,18,2,0
8,28,0,20,0
8,23,20,0,0
8,25,20,0,0
8,24,12,8,0
9,11,0,18,2
9,6,20,0,0
9,3,20,0,0
9,9,13,7,0
9,10,15,5,0
9,5,20,0,0
9,2,20,0,0
9,4,20,0,0
9,8,15,5,0
9,14,17,3,0
9,31,17,3,0
9,12,20,0,0
9,13,13,7,0
9,21,9,11,0
9,18,20,0,0
9,34,20,0,0
9,15,19,0,1
9,19,20,0,0
9,27,20,0,0
9,16,19,1,0
9,17,19,1,0
9,20,17,3,0
9,22,17,2,1
9,26,16,4,0
9,28,0,19,1
9,23,20,0,0
9,25,13,7,0
9,24,20,0,0
