iteration,Target,wins,loses,illegal,tie
1, 11, 16, 4, 0, 0
1, 6, 16, 4, 0, 0
1, 3, 14, 6, 0, 0
1, 9, 2, 18, 0, 0
1, 10, 7, 13, 0, 0
1, 5, 6, 14, 0, 0
1, 2, 15, 5, 0, 0
1, 4, 20, 0, 0, 0
1, 8, 4, 16, 0, 0
1, 14, 4, 16, 0, 0
1, 31, 20, 0, 0, 0
1, 12, 17, 3, 0, 0
1, 13, 9, 11, 0, 0
1, 21, 11, 9, 0, 0
1, 18, 18, 2, 0, 0
1, 34, 15, 5, 0, 0
1, 15, 0, 18, 0, 2
1, 19, 0, 20, 0, 0
1, 27, 0, 18, 0, 2
1, 16, 11, 9, 0, 0
1, 17, 16, 4, 0, 0
1, 20, 0, 20, 0, 0
1, 22, 0, 17, 0, 3
1, 26, 0, 19, 0, 1
1, 28, 0, 20, 0, 0
1, 23, 0, 20, 0, 0
1, 25, 12, 8, 0, 0
1, 24, 5, 15, 0, 0
2, 11, 9, 11, 0, 0
2, 6, 17, 3, 0, 0
2, 3, 20, 0, 0, 0
2, 9, 20, 0, 0, 0
2, 10, 20, 0, 0, 0
2, 5, 18, 2, 0, 0
2, 2, 18, 2, 0, 0
2, 4, 16, 4, 0, 0
2, 8, 20, 0, 0, 0
2, 14, 14, 5, 0, 1
2, 31, 20, 0, 0, 0
2, 12, 19, 1, 0, 0
2, 13, 17, 3, 0, 0
2, 21, 0, 20, 0, 0
2, 18, 13, 5, 0, 2
2, 34, 0, 18, 0, 2
2, 15, 12, 8, 0, 0
2, 19, 20, 0, 0, 0
2, 27, 17, 3, 0, 0
2, 16, 10, 10, 0, 0
2, 17, 9, 10, 0, 1
2, 20, 17, 3, 0, 0
2, 22, 14, 6, 0, 0
2, 26, 0, 20, 0, 0
2, 28, 19, 1, 0, 0
2, 23, 13, 7, 0, 0
2, 25, 18, 2, 0, 0
2, 24, 20, 0, 0, 0
3, 11, 18, 1, 0, 1
3, 6, 20, 0, 0, 0
3, 3, 20, 0, 0, 0
3, 9, 18, 2, 0, 0
3, 10, 20, 0, 0, 0
3, 5, 17, 3, 0, 0
3, 2, 20, 0, 0, 0
3, 4, 20, 0, 0, 0
3, 8, 18, 2, 0, 0
3, 14, 18, 2, 0, 0
3, 31, 20, 0, 0, 0
3, 12, 17, 3, 0, 0
3, 13, 20, 0, 0, 0
3, 21, 0, 19, 0, 1
3, 18, 19, 1, 0, 0
3, 34, 0, 20, 0, 0
3, 15, 19, 1, 0, 0
3, 19, 17, 3, 0, 0
3, 27, 12, 8, 0, 0
3, 16, 13, 7, 0, 0
3, 17, 13, 7, 0, 0
3, 20, 7, 13, 0, 0
3, 22, 19, 1, 0, 0
3, 26, 14, 6, 0, 0
3, 28, 9, 11, 0, 0
3, 23, 9, 11, 0, 0
3, 25, 18, 2, 0, 0
3, 24, 20, 0, 0, 0
4, 11, 10, 9, 0, 1
4, 6, 20, 0, 0, 0
4, 3, 18, 1, 0, 1
4, 9, 20, 0, 0, 0
4, 10, 18, 0, 0, 2
4, 5, 20, 0, 0, 0
4, 2, 20, 0, 0, 0
4, 4, 20, 0, 0, 0
4, 8, 18, 1, 0, 1
4, 14, 18, 2, 0, 0
4, 31, 20, 0, 0, 0
4, 12, 20, 0, 0, 0
4, 13, 12, 8, 0, 0
4, 21, 0, 20, 0, 0
4, 18, 15, 5, 0, 0
4, 34, 0, 19, 0, 1
4, 15, 13, 7, 0, 0
4, 19, 17, 3, 0, 0
4, 27, 16, 4, 0, 0
4, 16, 0, 20, 0, 0
4, 17, 0, 20, 0, 0
4, 20, 18, 2, 0, 0
4, 22, 16, 4, 0, 0
4, 26, 18, 2, 0, 0
4, 28, 11, 9, 0, 0
4, 23, 7, 13, 0, 0
4, 25, 20, 0, 0, 0
4, 24, 18, 2, 0, 0
5, 11, 15, 4, 0, 1
5, 6, 20, 0, 0, 0
5, 3, 17, 3, 0, 0
5, 9, 15, 5, 0, 0
5, 10, 12, 4, 0, 4
5, 5, 18, 2, 0, 0
5, 2, 20, 0, 0, 0
5, 4, 20, 0, 0, 0
5, 8, 20, 0, 0, 0
5, 14, 17, 3, 0, 0
5, 31, 20, 0, 0, 0
5, 12, 11, 9, 0, 0
5, 13, 12, 8, 0, 0
5, 21, 0, 17, 0, 3
5, 18, 16, 4, 0, 0
5, 34, 0, 20, 0, 0
5, 15, 13, 7, 0, 0
5, 19, 20, 0, 0, 0
5, 27, 17, 3, 0, 0
5, 16, 20, 0, 0, 0
5, 17, 12, 8, 0, 0
5, 20, 18, 2, 0, 0
5, 22, 0, 20, 0, 0
5, 26, 17, 3, 0, 0
5, 28, 16, 4, 0, 0
5, 23, 14, 3, 0, 3
5, 25, 16, 4, 0, 0
5, 24, 20, 0, 0, 0
6, 11, 6, 14, 0, 0
6, 6, 20, 0, 0, 0
6, 3, 15, 5, 0, 0
6, 9, 12, 6, 0, 2
6, 10, 19, 1, 0, 0
6, 5, 20, 0, 0, 0
6, 2, 15, 5, 0, 0
6, 4, 20, 0, 0, 0
6, 8, 16, 2, 0, 2
6, 14, 14, 6, 0, 0
6, 31, 18, 2, 0, 0
6, 12, 0, 20, 0, 0
6, 13, 20, 0, 0, 0
6, 21, 0, 20, 0, 0
6, 18, 19, 1, 0, 0
6, 34, 0, 20, 0, 0
6, 15, 14, 6, 0, 0
6, 19, 19, 1, 0, 0
6, 27, 19, 1, 0, 0
6, 16, 12, 8, 0, 0
6, 17, 18, 2, 0, 0
6, 20, 12, 8, 0, 0
6, 22, 0, 18, 0, 2
6, 26, 12, 8, 0, 0
6, 28, 14, 6, 0, 0
6, 23, 12, 6, 0, 2
6, 25, 20, 0, 0, 0
6, 24, 10, 10, 0, 0
7, 11, 17, 2, 0, 1
7, 6, 20, 0, 0, 0
7, 3, 14, 6, 0, 0
7, 9, 20, 0, 0, 0
7, 10, 10, 10, 0, 0
7, 5, 20, 0, 0, 0
7, 2, 19, 1, 0, 0
7, 4, 20, 0, 0, 0
7, 8, 0, 20, 0, 0
7, 14, 20, 0, 0, 0
7, 31, 20, 0, 0, 0
7, 12, 0, 20, 0, 0
7, 13, 19, 1, 0, 0
7, 21, 0, 20, 0, 0
7, 18, 0, 19, 0, 1
7, 34, 0, 20, 0, 0
7, 15, 0, 20, 0, 0
7, 19, 0, 19, 0, 1
7, 27, 20, 0, 0, 0
7, 16, 18, 2, 0, 0
7, 17, 10, 9, 0, 1
7, 20, 20, 0, 0, 0
7, 22, 0, 20, 0, 0
7, 26, 17, 3, 0, 0
7, 28, 14, 6, 0, 0
7, 23, 0, 20, 0, 0
7, 25, 19, 1, 0, 0
7, 24, 14, 6, 0, 0
8, 11, 8, 12, 0, 0
8, 6, 20, 0, 0, 0
8, 3, 18, 2, 0, 0
8, 9, 19, 1, 0, 0
8, 10, 15, 2, 0, 3
8, 5, 18, 2, 0, 0
8, 2, 18, 2, 0, 0
8, 4, 19, 1, 0, 0
8, 8, 12, 8, 0, 0
8, 14, 14, 6, 0, 0
8, 31, 20, 0, 0, 0
8, 12, 17, 3, 0, 0
8, 13, 12, 8, 0, 0
8, 21, 0, 20, 0, 0
8, 18, 16, 4, 0, 0
8, 34, 0, 18, 0, 2
8, 15, 7, 13, 0, 0
8, 19, 16, 4, 0, 0
8, 27, 18, 2, 0, 0
8, 16, 11, 9, 0, 0
8, 17, 18, 2, 0, 0
8, 20, 14, 4, 0, 2
8, 22, 0, 20, 0, 0
8, 26, 15, 5, 0, 0
8, 28, 16, 4, 0, 0
8, 23, 17, 3, 0, 0
8, 25, 20, 0, 0, 0
8, 24, 17, 3, 0, 0
9, 11, 17, 3, 0, 0
9, 6, 20, 0, 0, 0
9, 3, 20, 0, 0, 0
9, 9, 17, 3, 0, 0
9, 10, 20, 0, 0, 0
9, 5, 20, 0, 0, 0
9, 2, 20, 0, 0, 0
9, 4, 20, 0, 0, 0
9, 8, 8, 11, 0, 1
9, 14, 11, 9, 0, 0
9, 31, 20, 0, 0, 0
9, 12, 18, 2, 0, 0
9, 13, 19, 1, 0, 0
9, 21, 18, 2, 0, 0
9, 18, 10, 10, 0, 0
9, 34, 0, 20, 0, 0
9, 15, 12, 8, 0, 0
9, 19, 20, 0, 0, 0
9, 27, 9, 11, 0, 0
9, 16, 3, 16, 0, 1
9, 17, 16, 4, 0, 0
9, 20, 16, 3, 0, 1
9, 22, 0, 20, 0, 0
9, 26, 17, 2, 0, 1
9, 28, 18, 1, 0, 1
9, 23, 17, 3, 0, 0
9, 25, 20, 0, 0, 0
9, 24, 16, 4, 0, 0
